time,wind_direction_deg
2024-01-21T18:00,351
2024-01-21T19:00,350
2024-01-21T20:00,347
2024-01-21T21:00,345
2024-01-21T22:00,347
2024-01-21T23:00,347
2024-01-22T00:00,349
2024-01-22T01:00,355
2024-01-22T02:00,343
2024-01-22T03:00,321
2024-01-22T04:00,324
2024-01-22T05:00,326
2024-01-22T06:00,325
2024-01-22T07:00,323
2024-01-22T08:00,320
2024-01-22T09:00,316
2024-01-22T10:00,325
2024-01-22T11:00,339
2024-01-22T12:00,350
2024-01-22T13:00,1
2024-01-22T14:00,2
2024-01-22T15:00,4
2024-01-22T16:00,2
2024-01-22T17:00,360
2024-01-22T18:00,354
2024-01-22T19:00,351
2024-01-22T20:00,351
2024-01-22T21:00,358
2024-01-22T22:00,354
2024-01-22T23:00,357
2024-01-23T00:00,351
2024-01-23T01:00,11
2024-01-23T02:00,34
2024-01-23T03:00,283
2024-01-23T04:00,287
2024-01-23T05:00,295
2024-01-23T06:00,291
2024-01-23T07:00,293
2024-01-23T08:00,292
2024-01-23T09:00,289
2024-01-23T10:00,284
2024-01-23T11:00,304
2024-01-23T12:00,347
2024-01-23T13:00,358
2024-01-23T14:00,356
2024-01-23T15:00,5
2024-01-23T16:00,10
2024-01-23T17:00,13
2024-01-23T18:00,17
2024-01-23T19:00,18
2024-01-23T20:00,17
2024-01-23T21:00,14
2024-01-23T22:00,12
2024-01-23T23:00,13
2024-01-24T00:00,11
2024-01-24T01:00,21
2024-01-24T02:00,23
2024-01-24T03:00,18
2024-01-24T04:00,2
2024-01-24T05:00,353
2024-01-24T06:00,207
2024-01-24T07:00,197
2024-01-24T08:00,212
2024-01-24T09:00,231
2024-01-24T10:00,226
2024-01-24T11:00,221
2024-01-24T12:00,228
2024-01-24T13:00,267
2024-01-24T14:00,285
2024-01-24T15:00,307
2024-01-24T16:00,333
2024-01-24T17:00,32
2024-01-24T18:00,61
2024-01-24T19:00,20
2024-01-24T20:00,15
2024-01-24T21:00,12
2024-01-24T22:00,15
2024-01-24T23:00,4
2024-01-25T00:00,3
2024-01-25T01:00,4
2024-01-25T02:00,22
2024-01-25T03:00,37
2024-01-25T04:00,285
2024-01-25T05:00,304
2024-01-25T06:00,306
2024-01-25T07:00,304
2024-01-25T08:00,301
2024-01-25T09:00,292
2024-01-25T10:00,285
2024-01-25T11:00,282
2024-01-25T12:00,295
2024-01-25T13:00,353
2024-01-25T14:00,351
2024-01-25T15:00,351
2024-01-25T16:00,353
2024-01-25T17:00,356
2024-01-25T18:00,3
2024-01-25T19:00,7
2024-01-25T20:00,7
2024-01-25T21:00,9
2024-01-25T22:00,5
2024-01-25T23:00,11
2024-01-26T00:00,17
2024-01-26T01:00,28
2024-01-26T02:00,33
2024-01-26T03:00,30
2024-01-26T04:00,18
2024-01-26T05:00,10
2024-01-26T06:00,9
2024-01-26T07:00,347
2024-01-26T08:00,228
2024-01-26T09:00,220
2024-01-26T10:00,247
2024-01-26T11:00,241
2024-01-26T12:00,250
2024-01-26T13:00,327
2024-01-26T14:00,343
2024-01-26T15:00,358
2024-01-26T16:00,31
2024-01-26T17:00,43
2024-01-26T18:00,36
2024-01-26T19:00,33
2024-01-26T20:00,31
2024-01-26T21:00,29
2024-01-26T22:00,26
2024-01-26T23:00,26
2024-01-27T00:00,28
2024-01-27T01:00,33
2024-01-27T02:00,33
2024-01-27T03:00,31
2024-01-27T04:00,20
2024-01-27T05:00,19
2024-01-27T06:00,13
2024-01-27T07:00,214
2024-01-27T08:00,203
2024-01-27T09:00,221
2024-01-27T10:00,236
2024-01-27T11:00,225
2024-01-27T12:00,233
2024-01-27T13:00,260
2024-01-27T14:00,267
2024-01-27T15:00,255
2024-01-27T16:00,250
2024-01-27T17:00,270
2024-01-27T18:00,351
2024-01-27T19:00,6
2024-01-27T20:00,356
2024-01-27T21:00,8
2024-01-27T22:00,20
2024-01-27T23:00,21
2024-01-28T00:00,21
2024-01-28T01:00,11
2024-01-28T02:00,9
2024-01-28T03:00,90
2024-01-28T04:00,216
2024-01-28T05:00,210
2024-01-28T06:00,197
2024-01-28T07:00,193
2024-01-28T08:00,198
2024-01-28T09:00,194
2024-01-28T10:00,203
